food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC101,Dal parantha/paratha,asc_manual,1114.69,268.24,30.03,6.78,13.05,1.43,6.46,1556.72,2583.40,8046.57,0.00,23.89,158.21,63.15,156.13,268.85,2.45,0.30,25.16,0.00,1.31,0.04,1.53,0.00,5.90,5.05,0.00,4.83,0.00,37.84,0.20,0.08,1.15,0.55,0.13,0.70,37.84,2.35,420.07,parantha,854.93,205.73,23.03,5.20,10.01,1.09,4.96,1193.95,1981.38,6171.45,0.00,18.32,121.34,48.43,119.75,206.20,1.88,0.23,19.29,0.00,1.01,0.03,1.18,0.00,4.53,3.88,0.00,3.71,0.00,29.02,0.15,0.06,0.89,0.43,0.10,0.54,29.02,1.80,322.18
ASC102,Sprouted moong parantha/paratha,asc_manual,948.71,228.59,24.31,4.29,12.43,1.47,4.49,1508.61,2482.22,7749.82,0.00,20.33,120.66,49.59,153.94,150.07,1.94,0.19,18.51,0.00,1.10,0.02,1.10,0.00,5.88,4.82,0.00,4.64,0.00,16.33,0.17,0.06,0.95,0.38,0.12,0.59,16.33,2.61,293.34,parantha,727.63,175.32,18.64,3.29,9.53,1.13,3.44,1157.05,1903.78,5943.85,0.00,15.59,92.54,38.03,118.07,115.10,1.49,0.15,14.20,0.00,0.85,0.01,0.84,0.00,4.51,3.70,0.00,3.56,0.00,12.52,0.13,0.05,0.73,0.29,0.09,0.45,12.52,2.00,224.98
ASC103,Pea parantha/paratha (Matar ka parantha/paratha),asc_manual,792.61,190.73,21.51,5.59,8.80,1.29,5.61,1065.83,1758.68,5488.28,0.00,23.49,103.50,49.23,109.99,197.71,1.78,0.22,13.73,0.00,0.95,0.02,1.17,0.00,4.24,8.38,0.00,20.29,0.00,31.05,0.21,0.05,1.14,0.51,0.15,1.97,31.05,16.43,697.85,parantha,858.90,206.68,23.31,6.06,9.53,1.39,6.08,1154.97,1905.76,5947.28,0.00,25.46,112.16,53.35,119.19,214.25,1.93,0.24,14.88,0.00,1.03,0.02,1.26,0.00,4.60,9.08,0.00,21.98,0.00,33.64,0.23,0.06,1.23,0.55,0.16,2.14,33.64,17.80,756.21
ASC104,Keema parantha/paratha,asc_manual,989.27,238.09,18.36,9.41,13.91,0.99,3.44,3212.76,3659.35,6122.01,25.66,19.35,152.13,43.62,140.62,213.77,1.80,0.17,14.86,0.00,0.84,0.01,1.98,1.67,4.57,3.70,0.00,3.56,0.00,11.49,0.16,0.10,2.30,0.56,0.15,1.12,11.49,1.80,220.31,parantha,989.56,238.16,18.36,9.41,13.91,0.99,3.44,3213.72,3660.45,6123.85,25.67,19.36,152.18,43.63,140.67,213.83,1.80,0.17,14.86,0.00,0.84,0.01,1.98,1.67,4.57,3.70,0.00,3.56,0.00,11.49,0.16,0.10,2.30,0.57,0.15,1.12,11.49,1.80,220.38
ASC105,Paneer parantha/paratha,asc_manual,1093.35,262.97,24.33,7.98,14.62,3.77,4.00,3429.66,3237.83,7067.94,0.00,127.65,181.47,48.99,142.52,141.55,1.70,0.19,22.13,0.03,1.01,0.01,1.59,0.00,5.31,4.37,0.00,4.10,0.00,34.11,0.14,0.08,0.85,0.42,0.10,5.43,34.11,1.99,303.06,parantha,929.68,223.60,20.68,6.79,12.43,3.21,3.40,2916.24,2753.13,6009.87,0.00,108.54,154.30,41.66,121.18,120.36,1.44,0.16,18.82,0.02,0.86,0.01,1.35,0.00,4.51,3.71,0.00,3.48,0.00,29.00,0.12,0.06,0.72,0.36,0.09,4.62,29.00,1.69,257.70
ASC106,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),asc_manual,901.21,216.49,21.39,5.54,12.09,1.31,4.39,1478.47,2414.97,7507.21,0.00,33.07,101.72,53.30,177.19,251.93,1.85,0.18,11.71,0.01,1.06,0.01,0.90,0.00,6.02,2.89,0.00,68.84,0.00,61.41,0.18,0.08,0.85,0.41,0.15,2.29,61.41,8.08,2059.79,parantha,741.49,178.12,17.60,4.56,9.94,1.08,3.62,1216.43,1986.96,6176.68,0.00,27.21,83.70,43.85,145.78,207.28,1.53,0.15,9.63,0.01,0.87,0.01,0.74,0.00,4.95,2.38,0.00,56.64,0.00,50.53,0.15,0.06,0.70,0.33,0.13,1.88,50.53,6.65,1694.73
ASC107,Poori,asc_manual,3035.59,737.63,8.22,1.35,77.61,0.23,1.46,9623.96,15940.30,48777.58,1.58,3.98,40.35,16.07,31.73,39.91,0.60,0.07,6.80,0.00,0.38,0.00,0.37,5.91,37.90,1.72,0.00,5.03,0.00,3.74,0.05,0.02,0.30,0.11,0.03,0.10,3.74,0.00,48.31,poori,3791.45,921.31,10.27,1.69,96.93,0.29,1.82,12020.32,19909.44,60923.20,1.97,4.97,50.40,20.08,39.63,49.85,0.75,0.09,8.50,0.00,0.48,0.00,0.46,7.38,47.34,2.15,0.00,6.29,0.00,4.68,0.07,0.02,0.38,0.14,0.04,0.12,4.68,0.00,60.34
ASC108,Spinach poori (Palak poori),asc_manual,2816.04,684.25,7.76,1.42,71.86,0.24,1.55,8919.32,14753.28,45156.08,1.46,10.02,39.97,21.42,35.47,84.67,0.79,0.08,6.45,0.00,0.44,0.00,0.38,5.46,35.16,1.61,0.00,28.81,0.00,14.00,0.06,0.03,0.31,0.12,0.04,0.40,14.00,2.24,765.51,poori,3801.65,923.74,10.47,1.92,97.01,0.32,2.09,12041.08,19916.93,60960.71,1.97,13.53,53.96,28.92,47.89,114.30,1.06,0.10,8.71,0.00,0.59,0.01,0.51,7.38,47.47,2.17,0.00,38.89,0.00,18.90,0.08,0.03,0.42,0.16,0.06,0.54,18.90,3.03,1033.43
ASC109,Methi poori,asc_manual,2922.04,710.02,7.98,1.45,74.60,0.26,1.61,9255.95,15318.20,46887.28,1.51,14.61,41.04,18.01,35.37,48.54,0.81,0.07,6.59,0.00,0.40,0.01,0.37,5.67,36.43,1.74,0.00,21.38,0.00,6.51,0.06,0.03,0.33,0.13,0.05,0.28,6.51,2.24,550.68,poori,3798.65,923.03,10.38,1.89,96.99,0.34,2.10,12032.73,19913.66,60953.46,1.97,19.00,53.35,23.41,45.98,63.10,1.05,0.10,8.56,0.00,0.52,0.01,0.49,7.38,47.36,2.27,0.00,27.79,0.00,8.47,0.07,0.04,0.43,0.16,0.06,0.36,8.47,2.91,715.88
ASC110,Dal stuffed poori,asc_manual,3231.84,785.16,10.14,2.08,81.69,0.29,1.96,10132.77,16769.68,51322.12,1.66,6.88,53.37,22.74,128.18,81.94,0.83,0.09,7.76,0.00,0.51,0.01,0.47,6.21,39.86,2.10,0.00,6.08,0.00,6.44,0.06,0.02,0.39,0.20,0.05,0.14,6.44,0.36,82.44,poori,3838.91,932.65,12.04,2.47,97.03,0.35,2.33,12036.11,19919.70,60962.47,1.97,8.18,63.40,27.01,152.26,97.33,0.98,0.11,9.22,0.00,0.61,0.02,0.56,7.38,47.35,2.49,0.00,7.22,0.00,7.65,0.08,0.03,0.46,0.23,0.05,0.17,7.65,0.42,97.92
ASC111,Potato stuffed poori (Aloo ki poori),asc_manual,3196.78,776.74,9.40,1.52,81.35,0.26,1.64,10088.42,16705.94,51123.28,1.65,5.57,45.05,18.52,69.86,71.98,0.70,0.08,7.17,0.00,0.41,0.00,0.40,6.19,39.72,1.81,0.00,5.47,0.00,4.73,0.06,0.02,0.38,0.14,0.04,0.17,4.73,1.17,76.30,poori,3810.56,925.87,11.21,1.81,96.97,0.31,1.96,12025.39,19913.48,60938.95,1.97,6.64,53.70,22.08,83.28,85.80,0.84,0.09,8.54,0.00,0.49,0.00,0.48,7.38,47.34,2.16,0.00,6.52,0.00,5.63,0.07,0.03,0.46,0.16,0.05,0.20,5.63,1.39,90.95
ASC112,Tandoori parantha/paratha,asc_manual,1225.73,295.37,30.74,5.08,16.51,0.86,5.44,9543.83,4226.47,1092.69,39.77,14.98,150.90,59.88,1.14,148.98,1.96,0.23,25.45,0.00,1.43,0.01,1.37,149.07,1.06,6.43,0.00,0.72,0.00,14.00,0.20,0.07,1.14,0.42,0.12,0.36,14.00,0.00,437.25,parantha,682.32,164.42,17.11,2.83,9.19,0.48,3.03,5312.73,2352.73,608.27,22.14,8.34,84.00,33.33,0.63,82.93,1.09,0.13,14.17,0.00,0.79,0.01,0.76,82.98,0.59,3.58,0.00,0.40,0.00,7.79,0.11,0.04,0.63,0.23,0.07,0.20,7.79,0.00,243.40
ASC113,Boiled rice (Uble chawal),asc_manual,490.33,117.19,25.72,2.60,0.18,0.22,1.25,50.00,28.89,72.00,0.00,2.70,46.67,8.91,1.05,47.33,0.24,0.09,0.40,0.00,0.26,0.02,0.36,0.00,0.03,0.00,0.00,0.50,0.00,3.25,0.06,0.02,0.84,0.18,0.07,0.10,3.25,0.00,15.63,plate,1471.00,351.57,77.16,7.81,0.55,0.67,3.74,150.00,86.66,216.00,0.00,8.11,140.00,26.72,3.16,142.00,0.72,0.27,1.19,0.00,0.79,0.05,1.08,0.00,0.09,0.00,0.00,1.50,0.00,9.75,0.17,0.06,2.51,0.55,0.22,0.31,9.75,0.00,46.90
ASC114,Plain pulao,asc_manual,583.77,140.21,21.82,2.34,4.62,1.15,1.69,585.27,946.98,2865.54,0.00,12.76,42.93,12.30,193.76,74.74,0.41,0.09,0.40,0.00,0.47,0.03,0.37,0.00,2.20,0.28,0.00,2.01,0.00,7.35,0.05,0.02,0.72,0.19,0.07,0.52,7.35,1.11,35.37,plate,1797.44,431.70,67.17,7.20,14.23,3.53,5.19,1802.06,2915.74,8822.99,0.00,39.28,132.18,37.89,596.59,230.12,1.25,0.29,1.24,0.01,1.44,0.08,1.12,0.00,6.76,0.87,0.00,6.18,0.00,22.63,0.16,0.06,2.22,0.60,0.23,1.59,22.63,3.42,108.91
ASC115,Mixed vegetable pulao,asc_manual,471.00,113.05,17.49,2.72,3.33,1.35,2.67,427.80,671.57,2058.53,0.00,19.61,44.58,17.60,187.92,133.82,0.60,0.11,0.49,0.00,0.43,0.03,0.43,0.00,1.60,1.95,0.00,9.58,0.00,18.39,0.08,0.02,0.73,0.27,0.12,1.40,18.39,5.96,1340.13,plate,2064.84,495.61,76.68,11.94,14.59,5.93,11.69,1875.46,2944.18,9024.61,0.00,85.96,195.46,77.18,823.84,586.66,2.64,0.46,2.16,0.01,1.87,0.12,1.91,0.00,7.00,8.56,0.00,42.00,0.00,80.63,0.33,0.10,3.20,1.17,0.51,6.14,80.63,26.15,5875.11
ASC116,Mushroom pulao,asc_manual,517.56,124.29,19.02,2.52,4.03,1.00,1.88,511.58,814.50,2498.46,0.00,13.54,49.03,13.23,222.36,108.70,0.39,0.09,0.34,0.00,0.42,0.02,0.34,0.00,1.89,3.11,0.00,3.47,0.00,7.47,0.05,0.02,0.71,0.23,0.08,1.73,7.47,0.96,30.39,plate,1854.94,445.44,68.16,9.04,14.44,3.58,6.74,1833.51,2919.15,8954.49,0.00,48.52,175.74,47.42,796.95,389.57,1.40,0.34,1.24,0.01,1.52,0.09,1.21,0.00,6.76,11.14,0.00,12.43,0.00,26.77,0.17,0.07,2.56,0.81,0.29,6.21,26.77,3.42,108.91
ASC117,Sprouted moong pulao,asc_manual,470.44,112.97,17.49,2.19,3.61,1.43,1.78,464.80,729.65,2220.15,0.00,16.26,42.22,13.05,153.16,95.52,0.65,0.08,0.33,0.00,0.39,0.02,0.34,0.00,1.68,0.38,0.00,3.76,0.00,10.58,0.06,0.02,0.61,0.21,0.08,0.57,10.58,1.85,1181.76,plate,1918.94,460.81,71.35,8.93,14.72,5.84,7.28,1895.92,2976.25,9055.99,0.00,66.32,172.21,53.25,624.76,389.62,2.65,0.34,1.35,0.01,1.61,0.09,1.40,0.00,6.86,1.55,0.00,15.35,0.00,43.15,0.23,0.10,2.48,0.87,0.32,2.34,43.15,7.53,4820.41
ASC118,Paneer pulao,asc_manual,2396.20,581.91,8.76,1.98,59.81,1.11,0.62,7617.56,12348.22,37341.27,0.00,33.09,35.47,6.11,72.28,31.25,0.26,0.05,1.53,0.01,0.18,0.01,0.30,0.00,29.00,0.11,0.00,4.35,0.00,8.27,0.02,0.01,0.27,0.10,0.03,1.45,8.27,0.41,24.57,plate,20077.74,4875.84,73.38,16.63,501.14,9.31,5.19,63827.56,103465.74,312882.50,0.00,277.28,297.18,51.20,605.61,261.89,2.18,0.39,12.81,0.06,1.51,0.08,2.49,0.00,243.02,0.93,0.00,36.42,0.00,69.28,0.17,0.11,2.29,0.84,0.25,12.11,69.28,3.42,205.91
ASC119,Peanut pulao ,asc_manual,806.21,193.28,21.18,5.32,9.51,1.60,2.90,1641.26,3376.43,4083.54,0.00,18.52,91.56,38.11,168.40,159.16,0.83,0.21,0.82,0.00,0.63,0.05,0.76,0.00,2.49,1.23,0.00,2.07,0.00,19.02,0.12,0.03,2.21,0.31,0.10,0.67,19.02,0.96,42.00,plate,2885.44,691.73,75.81,19.03,34.05,5.74,10.38,5874.06,12084.24,14614.99,0.00,66.28,327.68,136.39,602.70,569.62,2.97,0.75,2.94,0.01,2.25,0.19,2.71,0.00,8.90,4.42,0.00,7.43,0.00,68.06,0.45,0.12,7.90,1.10,0.35,2.40,68.06,3.42,150.31
ASC120,Navratan pulao,asc_manual,1090.19,261.71,36.98,6.20,9.45,2.52,3.82,1703.75,2268.66,4982.27,0.00,59.61,107.10,32.27,334.26,185.63,1.10,0.22,2.65,0.01,0.98,0.04,0.98,0.00,3.76,2.51,0.00,11.43,0.00,25.65,0.13,0.04,1.33,0.46,0.15,2.74,25.65,7.04,1517.86,plate,1996.14,479.19,67.71,11.35,17.31,4.61,6.99,3119.57,4153.92,9122.53,0.00,109.14,196.11,59.09,612.02,339.89,2.01,0.40,4.84,0.02,1.79,0.07,1.80,0.00,6.89,4.59,0.00,20.93,0.00,46.97,0.24,0.08,2.43,0.84,0.28,5.03,46.97,12.89,2779.20
ASC121,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),asc_manual,722.95,173.43,27.57,4.88,4.82,2.48,3.15,587.75,1007.47,2846.60,0.00,18.94,72.14,21.62,170.05,164.60,0.95,0.17,0.35,0.00,0.98,0.02,0.70,0.00,2.00,0.24,0.00,2.98,0.00,84.14,0.11,0.05,0.84,0.39,0.14,0.45,84.14,1.52,36.02,plate,2587.44,620.70,98.67,17.45,17.25,8.88,11.29,2103.56,3605.74,10187.99,0.00,67.78,258.18,77.39,608.59,589.12,3.41,0.62,1.24,0.01,3.52,0.08,2.50,0.00,7.17,0.87,0.00,10.68,0.00,301.13,0.40,0.16,2.99,1.39,0.50,1.59,301.13,5.43,128.91
ASC122,Mutton biryani/biriyani,asc_manual,795.74,190.76,22.50,7.38,7.72,2.39,2.42,714.75,935.61,2609.10,0.40,68.58,94.87,19.12,262.64,212.05,1.29,0.12,0.59,0.00,0.67,0.06,0.46,1.01,1.99,2.03,0.00,6.94,0.00,14.47,0.11,0.07,2.45,0.27,0.11,1.06,14.47,4.95,811.04,plate,1653.67,396.43,46.75,15.33,16.05,4.97,5.02,1485.37,1944.33,5422.11,0.82,142.52,197.15,39.74,545.81,440.67,2.69,0.25,1.22,0.01,1.39,0.13,0.96,2.10,4.13,4.22,0.00,14.42,0.00,30.07,0.22,0.15,5.10,0.57,0.22,2.21,30.07,10.28,1685.47
ASC123,Vegetable biryani/biriyani,asc_manual,724.76,174.61,18.56,3.16,9.51,2.14,3.31,1274.58,1942.70,5841.21,0.27,33.52,59.38,24.37,183.79,242.50,0.86,0.12,0.65,0.00,0.56,0.03,0.50,0.70,4.52,2.83,0.00,12.90,0.00,25.71,0.08,0.04,0.86,0.38,0.15,2.00,25.71,13.05,1582.91,plate,2185.64,526.55,55.96,9.53,28.67,6.46,9.98,3843.70,5858.51,17615.05,0.82,101.07,179.05,73.50,554.25,731.31,2.61,0.37,1.97,0.01,1.70,0.10,1.52,2.10,13.63,8.55,0.00,38.92,0.00,77.54,0.25,0.13,2.60,1.13,0.46,6.02,77.54,39.35,4773.50
ASC124,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",asc_manual,734.93,176.30,21.62,4.26,7.88,0.78,2.52,1232.11,2472.67,3775.38,0.00,12.70,77.42,29.94,187.11,152.57,0.77,0.16,1.51,0.00,0.39,0.08,0.59,0.00,2.47,1.29,0.00,6.63,0.00,11.91,0.10,0.04,1.70,0.24,0.09,0.23,11.91,3.20,2148.06,plate,2345.60,562.69,69.01,13.58,25.15,2.48,8.05,3932.40,7891.78,12049.52,0.00,40.54,247.09,95.57,597.18,486.95,2.46,0.52,4.82,0.01,1.26,0.25,1.89,0.00,7.90,4.13,0.00,21.15,0.00,38.01,0.33,0.14,5.42,0.78,0.28,0.74,38.01,10.20,6855.73
ASC125,Sweet rice (Meethe chawal),asc_manual,906.12,215.41,42.59,2.10,4.57,24.80,1.13,2409.38,1377.46,361.35,9.55,11.38,39.74,11.13,3.20,56.08,0.34,0.11,0.38,0.00,0.46,0.04,0.32,35.79,0.50,0.22,0.00,0.92,0.00,3.06,0.04,0.02,0.62,0.14,0.05,0.16,3.06,0.06,90.74,plate,3151.16,749.13,148.12,7.29,15.88,86.26,3.93,8378.96,4790.32,1256.63,33.21,39.56,138.20,38.70,11.12,195.01,1.18,0.37,1.34,0.01,1.60,0.15,1.11,124.47,1.74,0.75,0.00,3.18,0.00,10.65,0.15,0.07,2.15,0.50,0.19,0.57,10.65,0.21,315.56
ASC126,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),asc_manual,818.47,195.74,32.93,5.75,4.32,3.91,2.13,1595.74,1009.27,1392.21,3.12,101.52,133.75,24.28,213.29,211.78,0.59,0.13,1.83,0.01,0.35,0.06,0.74,7.93,1.06,1.58,0.00,7.91,0.00,13.06,0.10,0.15,1.14,0.46,0.14,1.45,13.06,2.36,1872.22,plate,1769.20,423.11,71.18,12.44,9.33,8.46,4.61,3449.35,2181.65,3009.39,6.74,219.44,289.11,52.48,461.05,457.78,1.28,0.28,3.96,0.01,0.76,0.13,1.60,17.15,2.29,3.42,0.00,17.10,0.00,28.24,0.22,0.31,2.47,0.99,0.30,3.14,28.24,5.10,4046.99
ASC127,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),asc_manual,1556.82,373.04,65.08,7.45,8.53,11.65,5.12,2643.60,2460.18,2781.06,7.70,50.94,147.53,58.32,162.41,369.08,2.89,0.37,3.67,0.02,0.81,0.45,1.13,28.85,1.97,7.05,0.00,13.31,0.00,18.01,0.21,0.08,2.29,0.52,0.21,0.49,18.01,0.66,3140.33,plate,1990.08,476.86,83.19,9.53,10.91,14.89,6.54,3379.32,3144.85,3555.02,9.84,65.11,188.59,74.55,207.61,471.80,3.69,0.47,4.69,0.02,1.04,0.57,1.45,36.88,2.51,9.02,0.00,17.01,0.00,23.02,0.27,0.10,2.92,0.66,0.27,0.62,23.02,0.84,4014.29
ASC128,Spanish rice,asc_manual,686.24,164.24,31.10,4.19,2.23,1.26,2.78,315.58,435.80,1330.75,0.00,18.93,69.95,21.13,96.61,190.33,0.92,0.16,0.94,0.01,0.44,0.05,0.61,0.00,1.02,4.18,0.00,14.79,0.00,25.05,0.11,0.04,1.31,0.36,0.15,1.23,25.05,22.37,1934.34,plate,1492.57,357.22,67.64,9.11,4.86,2.74,6.04,686.39,947.87,2894.38,0.00,41.18,152.13,45.95,210.12,413.98,2.00,0.35,2.04,0.01,0.96,0.11,1.32,0.00,2.22,9.10,0.00,32.16,0.00,54.48,0.24,0.09,2.84,0.79,0.33,2.68,54.48,48.66,4207.19
ASC129,Chinese fried rice,asc_manual,502.30,120.58,13.40,4.05,5.43,1.47,2.31,952.97,1319.85,2741.71,52.09,34.70,70.05,18.99,248.36,210.87,0.99,0.09,6.13,0.00,0.26,0.02,0.51,28.18,2.18,0.57,0.12,23.24,2.08,38.95,0.06,0.06,0.70,0.43,0.18,4.23,38.95,19.18,1886.76,plate,1764.71,423.65,47.08,14.24,19.09,5.17,8.13,3348.08,4637.03,9632.45,183.00,121.90,246.11,66.72,872.57,740.85,3.47,0.31,21.55,0.01,0.90,0.08,1.80,99.00,7.67,1.99,0.42,81.65,7.30,136.83,0.22,0.22,2.45,1.51,0.64,14.87,136.83,67.39,6628.75
ASC133,Macroni cheese pie,asc_manual,717.16,170.63,21.10,5.85,7.48,3.40,0.40,4429.56,1955.48,419.11,15.99,122.01,162.88,19.78,200.51,156.11,0.54,0.09,5.54,0.00,0.21,0.01,0.71,60.18,0.32,2.52,0.00,5.85,0.00,11.77,0.06,0.08,0.84,0.41,0.07,1.86,11.77,6.11,1334.65,casserole dish,1717.59,408.65,50.52,14.01,17.92,8.15,0.96,10608.79,4683.37,1003.78,38.29,292.21,390.10,47.38,480.23,373.89,1.29,0.21,13.26,0.01,0.50,0.03,1.71,144.14,0.77,6.04,0.00,14.01,0.00,28.19,0.15,0.20,2.01,0.99,0.17,4.46,28.19,14.65,3196.49
ASC134,Vegetable chowmein,asc_manual,543.32,129.71,15.44,3.07,6.36,1.97,1.86,795.86,1254.13,3937.86,0.00,28.33,56.26,21.67,258.47,201.59,0.99,0.09,3.90,0.00,0.27,0.01,0.39,0.00,3.00,0.59,0.00,20.64,0.00,33.17,0.06,0.04,0.93,0.30,0.15,1.94,33.17,28.50,2228.36,plate,1627.69,388.60,46.27,9.19,19.05,5.89,5.58,2384.23,3757.12,11797.05,0.00,84.86,168.55,64.92,774.32,603.93,2.98,0.28,11.68,0.01,0.81,0.02,1.17,0.00,8.97,1.78,0.00,61.83,0.00,99.36,0.19,0.11,2.77,0.90,0.44,5.81,99.36,85.39,6675.74
ASC135,Chicken chowmein,asc_manual,632.98,151.33,13.30,6.33,8.23,1.63,1.64,968.75,1496.62,4214.87,10.73,26.10,77.93,21.81,288.15,225.32,0.89,0.13,6.64,0.00,0.24,0.01,0.46,1.21,3.23,0.53,0.24,18.15,4.84,29.70,0.07,0.04,2.19,0.45,0.22,2.41,29.70,24.68,1937.75,plate,2179.35,521.04,45.80,21.80,28.35,5.62,5.66,3335.42,5152.87,14511.81,36.93,89.87,268.30,75.10,992.10,775.79,3.07,0.45,22.85,0.01,0.82,0.05,1.58,4.18,11.12,1.84,0.83,62.51,16.68,102.27,0.24,0.13,7.55,1.54,0.74,8.28,102.27,84.96,6671.68
ASC136,Cheese noodle ring,asc_manual,561.07,133.67,13.96,6.22,6.12,2.84,1.27,3321.54,1715.81,431.16,55.67,99.30,140.95,20.45,241.96,176.93,0.79,0.09,8.66,0.00,0.19,0.02,0.73,61.17,0.43,2.14,0.11,8.18,1.84,23.84,0.07,0.09,0.67,0.55,0.12,4.43,23.84,6.09,1462.24,plate,2230.27,531.34,55.47,24.74,24.32,11.30,5.04,13203.12,6820.35,1713.85,221.29,394.72,560.29,81.28,961.79,703.30,3.12,0.36,34.42,0.01,0.77,0.07,2.90,243.14,1.72,8.51,0.42,32.50,7.30,94.77,0.29,0.37,2.68,2.20,0.47,17.59,94.77,24.19,5812.39
ASC137,Spaghetti and cheese balls in tomato sauce,asc_manual,2095.46,508.32,7.82,2.41,52.08,1.83,0.59,7373.75,10795.82,31606.38,3.83,40.59,39.59,8.73,104.14,68.28,0.32,0.05,2.67,0.01,0.10,0.00,0.32,17.42,24.57,2.53,0.00,9.19,0.00,12.01,0.03,0.02,0.36,0.13,0.04,1.57,12.01,5.97,1266.58,plate,20233.88,4908.38,75.46,23.26,502.89,17.72,5.72,71201.30,104244.95,305192.81,37.01,391.98,382.25,84.27,1005.54,659.33,3.06,0.45,25.82,0.06,0.97,0.05,3.06,168.21,237.22,24.41,0.00,88.73,0.00,115.96,0.27,0.22,3.46,1.25,0.36,15.14,115.96,57.67,12230.14
ASC138,Penne platter,asc_manual,744.46,177.40,20.87,5.04,8.71,4.50,1.09,2136.86,4920.39,1072.46,2.29,67.67,87.01,21.93,283.37,202.22,0.90,0.11,6.89,0.01,0.30,0.01,0.67,5.97,1.06,1.53,0.00,6.79,0.00,23.02,0.08,0.03,1.16,0.37,0.10,3.50,23.02,6.25,1013.17,plate,1946.75,463.90,54.58,13.18,22.78,11.77,2.85,5587.89,12866.81,2804.48,6.00,176.96,227.52,57.34,741.01,528.81,2.35,0.30,18.01,0.03,0.78,0.03,1.74,15.60,2.77,4.00,0.00,17.76,0.00,60.20,0.20,0.08,3.04,0.96,0.27,9.16,60.20,16.35,2649.44
ASC139,Pasta hot pot,asc_manual,524.24,125.17,11.60,5.84,6.47,5.99,0.80,2683.04,1884.61,1351.12,27.19,55.28,100.04,17.09,231.17,215.22,0.82,0.07,3.26,0.00,0.17,0.01,0.89,24.04,1.00,1.63,0.03,4.95,0.44,13.39,0.20,0.09,1.44,0.38,0.10,1.79,13.39,7.07,1010.47,plate,4358.64,1040.71,96.46,48.53,53.76,49.83,6.68,22307.33,15669.05,11233.47,226.04,459.58,831.78,142.08,1921.95,1789.40,6.82,0.60,27.14,0.02,1.45,0.05,7.38,199.89,8.32,13.54,0.21,41.19,3.65,111.30,1.63,0.73,11.96,3.13,0.82,14.92,111.30,58.74,8401.29
ASC140,Chicken lasagne,asc_manual,785.18,187.49,13.90,10.45,10.36,2.74,0.11,5062.30,2431.58,487.58,50.38,119.98,190.02,18.11,238.55,176.85,0.64,0.12,9.92,0.00,0.12,0.01,0.80,81.45,0.40,0.05,0.38,0.76,7.46,11.86,0.07,0.10,2.40,0.65,0.18,3.44,11.86,0.82,126.09,plate,4039.74,964.64,71.53,53.78,53.31,14.11,0.54,26045.54,12510.48,2508.61,259.21,617.31,977.67,93.19,1227.35,909.90,3.32,0.62,51.06,0.01,0.63,0.04,4.14,419.05,2.07,0.26,1.94,3.93,38.40,61.02,0.34,0.54,12.34,3.34,0.92,17.69,61.02,4.23,648.74
